MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
The Wizard of Oz	Adventure|Family|Fantasy	Victor Fleming,	Judy Garland,	9200 living actors in the notable star-studded cast! 68 incredibly magnificent sets! Augmented orchestra of 130 pieces! Chorus of 300 rousing voices! 100 minutes of unforgettable entertainment! (Newspaper ad, 1939). See more »	Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to see the Wizard who can help her return home.	 $2,800,000 (estimated)	 $22,202,612 (USA)(11 October 2013)
The Terminator	Action|Sci-Fi	James Cameron	Arnold Schwarzenegger,	Your future is in his hands. See more »	A human-looking indestructible cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.	 $6,400,000 (estimated)	 $38,400,000 (USA)
Groundhog Day	Comedy|Fantasy|Romance	Harold Ramis	Bill Murray,	He's having the day of his life...over and over again. See more »	A weatherman finds himself living the same day over and over again.	 $14,600,000 (estimated)	 $70,906,973 (USA)
Twelve Monkeys	Mystery|Sci-Fi|Thriller	Terry Gilliam	Bruce Willis,	They're Coming. See more »	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.	 $29,000,001 (estimated)	 $56,882,000 (USA)
Prisoners	Crime|Drama|Mystery	Denis Villeneuve	Hugh Jackman,	A hidden truth. A desperate search. See more »	When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?	 $46,000,000 (estimated)	 $60,962,878 (USA)(29 November 2013)
Jaws	Adventure|Drama|Thriller	Steven Spielberg	Roy Scheider,	See it before you go swimming. See more »	When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and a grizzled fisherman set out to stop it.	 $8,000,000 (estimated)	 $260,000,000 (USA)
The Best Years of Our Lives	Drama|Romance|War	William Wyler	Fredric March,	The Most Honored Picture of All Time (1954 widescreen reissue) See more »	Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.	 $2,100,000 (estimated)	 $23,650,000 (USA)
Mou gaan dou	Crime|Drama|Mystery	Wai-Keung Lau (as Andrew Lau),	Andy Lau,	". . . choose how to live the rest of your life.	A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.	 $6,428,966 (estimated)	 $89,594 (USA)(15 October 2004)
La haine	Crime|Drama	Mathieu Kassovitz	Vincent Cassel,	So far, so good See more »	24 hours in the lives of three young men in the French suburbs the day after a violent riot.	 €2,590,000 (estimated)	 $309,811 (USA)
Barry Lyndon	Adventure|Drama|History	Stanley Kubrick	Ryan O'Neal,	At long last Redmond Barry became a gentleman -- and that was his tragedy. See more »	An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.	 $11,000,000 (estimated)	NA
Strangers on a Train	Crime|Film-Noir|Thriller	Alfred Hitchcock	Farley Granger,	A girl in love with young America's idol--and a good-looking stranger in search of sensation--that's how it all began..! Warner Bros. bring a pounding new tempo to motion picture entertainment! See more »	A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder - a theory that he plans to implement.	 $1,200,000 (estimated)	NA
Catch Me If You Can	Biography|Crime|Drama	Steven Spielberg	Leonardo DiCaprio,	Frank didn't go to flight school...Frank didn't go to medical school...Frank didn't go to law school...because Frank's still in high school! See more »	The true story of Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars' worth of checks as a Pan Am pilot, doctor, and legal prosecutor.	 $52,000,000 (estimated)	 $164,435,221 (USA)(18 April 2003)
Sin City	Crime|Thriller	Frank Miller,	Mickey Rourke,	She smells like angels ought to smell. See more »	A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.	 $40,000,000 (estimated)	 $74,098,862 (USA)(5 August 2005)
La battaglia di Algeri	Drama|War	Gillo Pontecorvo	Brahim Hadjadj,	The Revolt that Stirred the World! See more »	In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.	 $800,000 (estimated)	 $32,259 (USA)(14 October 2016)
Dog Day Afternoon	Crime|Drama	Sidney Lumet	Al Pacino,	In August, 1972, Sonny Wortzik robbed a bank. 250 cops, the F.B.I., 8 hostages and 2,000 onlookers will never forget what took place. See more »	A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.	 $1,800,000 (estimated)	NA
Kind Hearts and Coronets	Comedy|Crime	Robert Hamer	Dennis Price,	He chopped down the family tree... See more »	A distant poor relative of the Duke of D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.	NA	NA
Song of the Sea	Animation|Adventure|Family	Tomm Moore	David Rawle,	NA	Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the faeries and save the spirit world.	 €5,300,000 (estimated)	 $850,043 (USA)(8 May 2015)
The Revenant	Adventure|Drama|Thriller	Alejandro G. Iñárritu	Leonardo DiCaprio,	Inspired by true events See more »	A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.	 $135,000,000 (estimated)	 $183,635,922 (USA)(20 May 2016)
Deadpool	Action|Adventure|Comedy	Tim Miller	Ryan Reynolds,	With great power comes great irresponsibility. See more »	A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.	 $58,000,000 (estimated)	 $363,024,263 (USA)(3 June 2016)
Pirates of the Caribbean: The Curse of the Black Pearl	Action|Adventure|Fantasy	Gore Verbinski	Johnny Depp,	Over 3000 Islands of Paradise -- For Some it's A Blessing -- For Others... It's A Curse. See more »	Blacksmith Will Turner teams up with eccentric pirate "Captain" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.	 $140,000,000 (estimated)	 $305,388,685 (USA)(26 December 2003)
The Help	Drama	Tate Taylor	Emma Stone,	Change begins with a whisper.	An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.	 $25,000,000 (estimated)	 $169,705,587 (USA)(2 March 2012)
The Imitation Game	Biography|Drama|Thriller	Morten Tyldum	Benedict Cumberbatch,	The true enigma was the man who cracked the code See more »	During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.	 $14,000,000 (estimated)	 $91,121,452 (USA)(8 May 2015)
